,marketplace,title,price,sold,city,link,extraction_date
28,shopee,HARGA MURAH Laptop ASUS ROG Zephyrus G14 GA401 GeForce RTX 2060 Ryzen 9 4900HS,Rp9.032.330,0,12 Bulan,https://shopee.co.id/HARGA-MURAH-Laptop-ASUS-ROG-Zephyrus-G14-GA401-GeForce-RTX-2060-Ryzen-9-4900HS-i.570655986.11563043543?sp_atk=cba6b555-51ae-4ff5-bc52-66f3152c1795,2021-10-26
29,shopee,HARGA MURAH [Laptop Gaming] ZOTAC GAMING GeForce RTX 2060 SUPER MINI,Rp4.434.400,0,12 Bulan,https://shopee.co.id/HARGA-MURAH-Laptop-Gaming-ZOTAC-GAMING-GeForce-RTX-2060-SUPER-MINI-i.570655986.11463043553?sp_atk=5e8c577f-d73a-4fe4-bf36-400d21bd35f2,2021-10-26
30,shopee,ASUS GeForce RTX 2060 DUAL OC edition 6GB GDDR6 DUAL FAN RGB,Rp10.999.000,0,3 Tahun,https://shopee.co.id/ASUS-GeForce-RTX-2060-DUAL-OC-edition-6GB-GDDR6-DUAL-FAN-RGB-i.24541643.12328373532?sp_atk=5570c5ee-4476-4ddc-b584-ad37a0e9adc8,2021-10-26
31,shopee,VGA GIGABYTE GeForce RTX 2060 6GB DDR6,Rp2.625.000,0,12 Bulan,https://shopee.co.id/VGA-GIGABYTE-GeForce-RTX-2060-6GB-DDR6-i.570902973.12934891292?sp_atk=0c6a8c66-d529-47ab-8e0c-db23cd7bfde5,2021-10-26
32,shopee,VGA CARD ASUS RTX 2060 OC 6GB DUAL AUTO EXTREME GRAPHICS CARD - ASUS,Rp13.500.000,0,12 Bulan,https://shopee.co.id/VGA-CARD-ASUS-RTX-2060-OC-6GB-DUAL-AUTO-EXTREME-GRAPHICS-CARD-ASUS-i.514087053.12234812348?sp_atk=2258e5b6-0105-4606-8bd7-937e7851661e,2021-10-26
33,shopee,Colorful RTX2060 Ultra 6GB GDDR6,Rp12.500.000,7,,https://shopee.co.id/Colorful-RTX2060-Ultra-6GB-GDDR6-i.180533859.8601151274?sp_atk=7b5463aa-a7e8-406b-b1ca-1a86d74001be,2021-10-26
34,shopee,Vga Asus RTX 2060 6GB GDDR6 (Asus Dual Rtx 2060 6gb gddr6) Gransi Resmi,Rp2.837.500,0,12 Bulan,https://shopee.co.id/Vga-Asus-RTX-2060-6GB-GDDR6-(Asus-Dual-Rtx-2060-6gb-gddr6)-Gransi-Resmi-i.570902973.13934871561?sp_atk=d2cde231-7d52-444c-9e45-c8b81193090b,2021-10-26
35,shopee,"VGA Gigabyte GTX 970 G1 Gaming full Waterblock , not rtx 2060,1660",Rp800.000,0,Pernah Dipakai,https://shopee.co.id/VGA-Gigabyte-GTX-970-G1-Gaming-full-Waterblock-not-rtx-2060-1660-i.570902973.12434887470?sp_atk=28a1fed8-7972-4c09-8f4a-557d121a345e,2021-10-26
36,shopee,VGA CARD MSI GEFORCE RTX 2060 OC VENTUS GP 6GB - MSI,Rp13.999.000,0,12 Bulan,https://shopee.co.id/VGA-CARD-MSI-GEFORCE-RTX-2060-OC-VENTUS-GP-6GB-MSI-i.514087053.13234803034?sp_atk=4aca462d-62e2-4294-94f1-5036ab95d7b6,2021-10-26
37,shopee,[TERMURAH] mining rig 1- 6 vga gtx 1660 super /1660ti / rtx 2060 sebulan dapat 6-10jt tinggal colok listrik per vga dapat 1-2jt sebulan rtx 3060 3070 380 3090 termurah se indonesia free konsultasi free ongkir semarang dan sekitarnya,Rp13.000.000 - Rp87.000.000,8,24 Bulan,https://shopee.co.id/-TERMURAH-mining-rig-1-6-vga-gtx-1660-super-1660ti-rtx-2060-sebulan-dapat-6-10jt-tinggal-colok-listrik-per-vga-dapat-1-2jt-sebulan-rtx-3060-3070-380-3090-termurah-se-indonesia-free-konsultasi-free-ongkir-semarang-dan-sekitarnya-i.233420365.11929736547?sp_atk=bdc5db3a-3b50-4db6-a088-df7f211b44e2,2021-10-26
