,marketplace,title,price,sold,city,link,extraction_date
198,tokopedia,VGA MSI GeForce RTX 2060 SUPER 8GB DDR6 - Ventus OC,Rp9.900.000,,Kota Medan,https://www.tokopedia.com/indira24shop/vga-msi-geforce-rtx-2060-super-8gb-ddr6-ventus-oc?whid=0,2021-10-26
199,tokopedia,Vga Msi Rtx 2060 Ventus Xs 6gb Oc Gddr6,Rp6.850.000,,Kota Bandung,https://www.tokopedia.com/kazzuo/vga-msi-rtx-2060-ventus-xs-6gb-oc-gddr6?whid=0,2021-10-26
200,tokopedia,VGA GALAX GeForce® RTX 2060 (1-Click OC) 6GB DDR6 192bit,Rp11.150.000,Terjual 1,Kota Bekasi,https://www.tokopedia.com/pc-rakitan/vga-galax-geforce-rtx-2060-1-click-oc-6gb-ddr6-192bit?whid=0,2021-10-26
201,tokopedia,MURAH Gigabyte GeForce RTX 2060 VGA Super 8GB DDR6 Aoru,Rp10.523.800,,Jakarta Barat,https://www.tokopedia.com/yolandat/murah-gigabyte-geforce-rtx-2060-vga-super-8gb-ddr6-aoru?whid=0,2021-10-26
202,tokopedia,VGA GeForce RTX 2060 SUPER 8GB DDR6 256 Bit,Rp10.000.000,,Kota Medan,https://www.tokopedia.com/stargiftcorner/vga-geforce-rtx-2060-super-8gb-ddr6-256-bit?whid=0,2021-10-26
203,tokopedia,VGA INNO3D RTX 2060 Twin X2 6G - 6GB GDDR6 192 BIT RTX2060 2 FAN,Rp11.248.000,Terjual 1,Jakarta Barat,https://www.tokopedia.com/optionid-1/vga-inno3d-rtx-2060-twin-x2-6g-6gb-gddr6-192-bit-rtx2060-2-fan?whid=0,2021-10-26
204,tokopedia,VGA ASUS STRIX ROG. RTX 2060 Super. VGA ROG,Rp11.226.000,,Jakarta Selatan,https://www.tokopedia.com/alimasco/vga-asus-strix-rog-rtx-2060-super-vga-rog?whid=0,2021-10-26
205,tokopedia,VGA Colorful iGame Geforce RTX 2060 SUPER UltraV 8GB 8 GB GDDR6,Rp8.818.000,,Jakarta Utara,https://www.tokopedia.com/budstorei/vga-colorful-igame-geforce-rtx-2060-super-ultrav-8gb-8-gb-gddr6?whid=0,2021-10-26
206,tokopedia,Promo vga MSI GeForce RTX 2060 SUPER Gaming X 8G Berkualitas,Rp10.449.400,,Jakarta Barat,https://www.tokopedia.com/jinggastore1507/promo-vga-msi-geforce-rtx-2060-super-gaming-x-8g-berkualitas?whid=0,2021-10-26
207,tokopedia,VGA ASUS - DUAL-RTX2060-O6G / DUAL RTX 2060 6 GB,Rp10.890.000,Terjual 5,Kota Bandung,https://www.tokopedia.com/nk-comp/vga-asus-dual-rtx2060-o6g-dual-rtx-2060-6-gb?whid=0,2021-10-26
208,tokopedia,VGA Gigabyte GeForce RTX 2060 SUPER 8GB DDR6 Aorus - GV-N206SAORUS-8GC,Rp11.500.000,,Kota Medan,https://www.tokopedia.com/indira24shop/vga-gigabyte-geforce-rtx-2060-super-8gb-ddr6-aorus-gv-n206saorus-8gc?whid=0,2021-10-26
209,tokopedia,VGA Colorful iGame Geforce RTX 2060 Super 8G-V 8GB - 8 GB GDDR6 Murah,Rp8.461.700,,Jakarta Barat,https://www.tokopedia.com/emnastore1502/vga-colorful-igame-geforce-rtx-2060-super-8g-v-8gb-8-gb-gddr6-murah?whid=0,2021-10-26
210,tokopedia,ASUS TUF FX506IV RYZEN 7 RAM 8GB SSD 512GB VGA RTX 2060 WIN 10 FHD,Rp17.900.000,,Jakarta Barat,https://www.tokopedia.com/megazone-electro/asus-tuf-fx506iv-ryzen-7-ram-8gb-ssd-512gb-vga-rtx-2060-win-10-fhd?whid=0,2021-10-26
211,tokopedia,VGA Asus Geforce RTX 2060 Dual EVO OC 6 GB 192 Bit GDDR6,Rp11.330.000,Terjual 3,Jakarta Pusat,https://www.tokopedia.com/computeronline/vga-asus-geforce-rtx-2060-dual-evo-oc-6-gb-192-bit-gddr6?whid=0,2021-10-26
212,tokopedia,Vga Gigabyte geforce rtx 2060,Rp11.500.000,,Kota Tangerang Selatan,https://www.tokopedia.com/cheap-shop-jkt/vga-gigabyte-geforce-rtx-2060?whid=0,2021-10-26
213,tokopedia,VGA ASUS ROG Strix RTX2060S Evo 8GB - RTX 2060 Super Evo OC 8 GB GDDR,Rp15.790.000,,Jakarta Barat,https://www.tokopedia.com/wendastore647/vga-asus-rog-strix-rtx2060s-evo-8gb-rtx-2060-super-evo-oc-8-gb-gddr?whid=0,2021-10-26
214,tokopedia,VGA GeForce RTX 2060 SUPER 8GB DDR6 - Ventus OC,Rp9.000.000,,Kota Medan,https://www.tokopedia.com/stargiftcorner/vga-geforce-rtx-2060-super-8gb-ddr6-ventus-oc?whid=0,2021-10-26
215,tokopedia,Ready Stock Vga Colorful Igame Geforce Rtx 2060 Super 8Gb Ultra-V,Rp10.626.000,,Kota Tangerang,https://www.tokopedia.com/robo-n/ready-stock-vga-colorful-igame-geforce-rtx-2060-super-8gb-ultra-v?whid=0,2021-10-26
216,tokopedia,"PAKET BUNDLING VGA GIGABYTE RTX 2060 D6 6GB WINDFORCE GDDR6, GIGABYTE",Rp12.300.000,,Jakarta Barat,https://www.tokopedia.com/glazest/paket-bundling-vga-gigabyte-rtx-2060-d6-6gb-windforce-gddr6-gigabyte?whid=0,2021-10-26
217,tokopedia,PC GAMING INTEL CORE I5 10500 GEN 10 FEAT VGA RTX 2060 6GB DDR6 | 16GB,Rp18.775.000,,Kota Bandung,https://www.tokopedia.com/acepkusnandar28/pc-gaming-intel-core-i5-10500-gen-10-feat-vga-rtx-2060-6gb-ddr6-16gb?whid=0,2021-10-26
218,tokopedia,NOTEBOOK DELL INSPIRON G7/7500 - CORE i7 - VGA RTX 2060,Rp27.000.000,,Kota Surabaya,https://www.tokopedia.com/itpsby/notebook-dell-inspiron-g7-7500-core-i7-vga-rtx-2060?whid=0,2021-10-26
219,tokopedia,VGA ASUS DUAL RTX 2060 O6G EVO GeForce RTX2060 6GB EVO,Rp11.500.000,Terjual 6,Kota Denpasar,https://www.tokopedia.com/archietech/vga-asus-dual-rtx-2060-o6g-evo-geforce-rtx2060-6gb-evo?whid=0,2021-10-26
